,XLK,XLI,XLY,XLF,XLV,XLE,XLB,XLRE,XLU,XLP,XLC
XLK,1.0,0.7250644889539042,0.8205143631438948,0.6512520763330412,0.5983199958819858,0.4790636151119148,0.6887528962875421,0.5850114853336092,0.5170324223783291,0.45557042655629343,0.8130395039499778
XLI,0.7250644889539042,1.0,0.8155945338318142,0.8866675228742006,0.716018273220568,0.7113800540126887,0.8912843568523834,0.7924907454013105,0.7076292688249468,0.6447290321432038,0.7202972599353744
XLY,0.8205143631438948,0.8155945338318142,1.0,0.771144353376767,0.6546846217014795,0.5563736874846344,0.7870072063909522,0.6996307227093856,0.5675292390355119,0.5667109924118023,0.8441449471887003
XLF,0.6512520763330412,0.8866675228742006,0.771144353376767,1.0,0.6902937544208863,0.747673575622804,0.8292057655181851,0.7862948257655891,0.6676299556374048,0.6303311016547288,0.7212397249943215
XLV,0.5983199958819858,0.716018273220568,0.6546846217014795,0.6902937544208863,1.0,0.5230095331580809,0.723087448268121,0.743635111734924,0.6621480351407366,0.7244400606972842,0.6670210214118801
XLE,0.4790636151119148,0.7113800540126887,0.5563736874846344,0.747673575622804,0.5230095331580809,1.0,0.7024164277277988,0.6161008066755241,0.5305132051813376,0.4897442037080977,0.524073216622175
XLB,0.6887528962875421,0.8912843568523834,0.7870072063909522,0.8292057655181851,0.723087448268121,0.7024164277277988,1.0,0.7839284144069805,0.6794524777829927,0.6680119154314955,0.7029220332099906
XLRE,0.5850114853336092,0.7924907454013105,0.6996307227093856,0.7862948257655891,0.743635111734924,0.6161008066755241,0.7839284144069805,1.0,0.8147155786857322,0.7455696562134045,0.6639708624852796
XLU,0.5170324223783291,0.7076292688249468,0.5675292390355119,0.6676299556374048,0.6621480351407366,0.5305132051813376,0.6794524777829927,0.8147155786857322,1.0,0.7269473318891329,0.5555219798839865
XLP,0.45557042655629343,0.6447290321432038,0.5667109924118023,0.6303311016547288,0.7244400606972842,0.4897442037080977,0.6680119154314955,0.7455696562134045,0.7269473318891329,1.0,0.6021423672212554
XLC,0.8130395039499778,0.7202972599353744,0.8441449471887003,0.7212397249943215,0.6670210214118801,0.524073216622175,0.7029220332099906,0.6639708624852796,0.5555219798839865,0.6021423672212554,1.0
