,XLK,XLI,XLY,XLF,XLV,XLE,XLB,XLRE,XLU,XLP,XLC
XLK,1.0,0.7196117461523864,0.8265084177079168,0.6383151370518473,0.6420224150845397,0.34885692411745006,0.6639817526029544,0.5274162087745627,0.3138275478312875,0.4921844671125569,0.8063417669931807
XLI,0.7196117461523864,1.0,0.7333430666960633,0.8455774133092577,0.6837354865386301,0.5915817402752503,0.8658691463729581,0.6135897176234901,0.4550994975592046,0.6173992194655818,0.661456848385545
XLY,0.8265084177079168,0.7333430666960633,1.0,0.6774588716773433,0.5860587529059599,0.36137912623994806,0.6863302966950581,0.5703381071935666,0.3299399150438341,0.5075962797701329,0.7825050689667675
XLF,0.6383151370518473,0.8455774133092577,0.6774588716773433,1.0,0.6468390356622573,0.6041237004960486,0.7999808217763766,0.5555984298566966,0.41275238576002515,0.5845847305808739,0.6324346181059994
XLV,0.6420224150845397,0.6837354865386301,0.5860587529059599,0.6468390356622573,1.0,0.36643152063078405,0.6548597591592398,0.6131313942192633,0.5420932053642311,0.6968386278563015,0.5988028903827106
XLE,0.34885692411745006,0.5915817402752503,0.36137912623994806,0.6041237004960486,0.36643152063078405,1.0,0.5830988335623047,0.2934514436319193,0.22834108696987543,0.3088269593358235,0.3524586307000864
XLB,0.6639817526029544,0.8658691463729581,0.6863302966950581,0.7999808217763766,0.6548597591592398,0.5830988335623047,1.0,0.6043785568924162,0.4617343141929404,0.6017551317268444,0.6255202619042403
XLRE,0.5274162087745627,0.6135897176234901,0.5703381071935666,0.5555984298566966,0.6131313942192633,0.2934514436319193,0.6043785568924162,1.0,0.689597537835922,0.6413936029465023,0.5191004233273557
XLU,0.3138275478312875,0.4550994975592046,0.3299399150438341,0.41275238576002515,0.5420932053642311,0.22834108696987543,0.4617343141929404,0.689597537835922,1.0,0.6847204570747906,0.32130483478408534
XLP,0.4921844671125569,0.6173992194655818,0.5075962797701329,0.5845847305808739,0.6968386278563015,0.3088269593358235,0.6017551317268444,0.6413936029465023,0.6847204570747906,1.0,0.47343887436919924
XLC,0.8063417669931807,0.661456848385545,0.7825050689667675,0.6324346181059994,0.5988028903827106,0.3524586307000864,0.6255202619042403,0.5191004233273557,0.32130483478408534,0.47343887436919924,1.0
