,XLK,XLI,XLY,XLF,XLV,XLE,XLB,XLRE,XLU,XLP,XLC
XLK,,0.3471604430651834,0.17744223286402896,0.24308364725339962,0.5293537558523405,0.0961776932161249,0.15082636290558052,0.13019185850931617,0.0021982960842768626,3.629678931362329e-05,0.27239087907845105
XLI,0.6501567564195472,,0.09801124443168141,0.2343532959633669,0.021312236428372176,0.34929294744743616,0.31635824158070824,0.053665545321258244,0.00036123651591293333,0.00023331466306465826,0.27694895152119453
XLY,0.29074515956807445,0.009265296034303745,,0.0019400398072056207,0.060894052084614333,0.29847380034426557,0.20883609051514596,0.0247385066006382,0.00014077725338782632,2.3704553990076664e-05,0.044747577213321045
XLF,0.055323185861785557,0.07358497795571836,0.013624307072411116,,0.01875110876270225,0.1602490090248769,0.1080852029278193,0.011373303139461045,3.2817623198632545e-05,4.4552848427722656e-06,0.07945742835664577
XLV,0.19419725083414494,0.21418594603990943,0.01302389378312457,0.3337966339543053,,0.008685689064013615,0.1456440109241531,0.4236132480123659,0.02730981225255645,0.00014768143016703154,0.1252742707198959
XLE,0.16468647208644624,0.5934238714307983,0.1865049296753967,0.5558598071114402,0.024837102535773183,,0.6081178883497441,0.18876801565072074,6.979857328263576e-05,0.0008006942867168999,0.0875453719353478
XLB,0.2508072285529094,0.3955303334084266,0.11991243765314143,0.5213577185475582,0.06381133509392123,0.7404791477603084,,0.07924352741304883,0.0004916514595429257,0.00022443208197696276,0.6253109739995019
XLRE,0.21246523345017768,0.4630776036744495,0.03567903739683264,0.1917414322708887,0.07344111198251393,0.14011598992764268,0.06603755968697426,,9.36060790662521e-06,0.0001731404372609035,0.09758049371404758
XLU,0.04289152602629385,0.2799296830180424,0.0013602533576891065,0.24753115367410136,0.011471333994113193,0.02479981640326057,0.07317870864403492,8.74648527409603e-05,,0.344986094603784,0.20572882214887322
XLP,0.29714267578591624,0.6232549064757305,0.0633709239691306,0.5705733397902716,0.06977088102189657,0.06639983969750245,0.5067311897778224,0.4527482844342071,0.7393221648991775,,0.2177710819444803
XLC,0.06291442929006917,0.11695471726242655,0.2038161465175969,0.023672606972173337,0.4306168711346203,0.0855765347834452,0.13177157612096718,0.13568053328650143,0.00462186827597033,0.00015996211449903968,
