,XLK,XLI,XLY,XLF,XLV,XLE,XLB,XLRE,XLU,XLP,XLC
XLK,,0.8506145298951825,0.8291911427593125,0.16726388788977695,0.5031974039741557,0.15676477750021564,0.522797303617001,0.2503134498233407,0.175294687881353,0.3374776993950029,0.20289817871401164
XLI,0.8997136745290171,,0.7648085805493062,0.06163160516505574,0.4947810153200559,0.04140446194859145,0.9421577722811613,0.1384784009568202,0.09876513984230405,0.050976872236599115,0.7410521355258941
XLY,0.8782922770972941,0.5450635858601651,,0.06327047544231519,0.6676252988582276,0.16545897089946499,0.28525089637405465,0.5549257009189161,0.49468355501257577,0.530519587417082,0.5205338791731999
XLF,0.6745903706266932,0.024361858719396483,0.5784986638208313,,0.543859182253897,0.0008423267155428384,0.04206927319439803,0.3000265329680913,0.10933230541404954,0.8693395198761945,0.4355273037667764
XLV,0.6977456865082322,0.8360938322255026,0.8664224914283458,0.601173486762119,,0.11867259645922396,0.8024698255673617,0.4588397049771098,0.023671091708889834,0.24413458346608302,0.42110868364407295
XLE,0.017644507957308504,0.22851555749778313,0.07620485187826823,0.004566826026849369,0.04709895907303607,,0.31600874687590447,0.06286862102808718,0.11262522288032296,0.017621954329874772,0.5256206596311818
XLB,0.742627366613615,0.8005576593467737,0.5989181326132118,0.01564561269651206,0.4387252573545106,0.03370886989287928,,0.3879962737129719,0.3945131371878885,0.43056781054619986,0.9106398022641747
XLRE,0.8184641757608278,0.7211890285063638,0.7947679057592857,0.03088574535652703,0.35925907565274223,0.2024187675281874,0.2789053911937812,,0.0003229542121178991,0.003075128781915488,0.8846374105014779
XLU,0.9417265504795596,0.1688979678852041,0.9980447273818912,0.00233652630586953,0.39564414455192326,0.018889821598539764,0.1036954836082786,0.40412993091080274,,0.29693314701163365,0.6215321750532878
XLP,0.6200960489755628,0.2279807302850473,0.8328554370637843,0.003280956014549008,0.04334367993255237,0.013909419898625843,0.020773477598185302,0.16100940124525845,0.09484432712957155,,0.17372154925805514
XLC,0.4548963817125493,0.7606098077479194,0.3524106652839404,0.38473492688593386,0.3727091509404563,0.030487795666581666,0.4280055492632351,0.648527907810086,0.19098355818651572,0.8571728435256056,
