,trace_stat,trace_crit_5pct,trace_reject,max_eig_stat,max_eig_crit_5pct,max_eig_reject
r<=0,292.0779934920049,285.1402,True,75.66664297114475,70.5392,True
r<=1,216.4113505208602,239.2468,False,44.56461363712312,64.504,False
r<=2,171.84673688373704,197.3772,False,39.57804744690109,58.4332,False
r<=3,132.26868943683596,159.529,False,34.365283900767075,52.3622,False
r<=4,97.90340553606889,125.6185,False,25.30401139484931,46.2299,False
r<=5,72.59939414121959,95.7542,False,23.583040751721104,40.0763,False
r<=6,49.016353389498484,69.8189,False,17.104624583824766,33.8777,False
r<=7,31.911728805673715,47.8545,False,12.927591590016421,27.5858,False
r<=8,18.98413721565729,29.7961,False,10.97507769899065,21.1314,False
r<=9,8.009059516666643,15.4943,False,5.771378001370107,14.2639,False
r<=10,2.237681515296535,3.8415,False,2.237681515296535,3.8415,False
