,XLK,XLI,XLY,XLF,XLV,XLE,XLB,XLRE,XLU,XLP,XLC
XLK,1.0,0.1836016434070778,0.2969520219145274,-0.13909066162111544,0.09113837798993604,-0.028662795334723292,0.05879111589458008,-0.09633515334968515,0.12576077811465558,-0.22511923686315286,0.4353296291552986
XLI,0.18360164340707788,1.0,0.207181580514493,0.4274322458364372,0.048251387506581284,0.08588647229144815,0.4041663948527756,0.01501673829550504,0.16196508427875672,-0.02135516388155342,-0.15978001029739017
XLY,0.2969520219145274,0.20718158051449304,1.0,0.08429757843953808,-0.05134359854698146,-0.12970382922633494,0.1532422872473484,0.1139382564993253,-0.13792168116821912,-0.02121483342182525,0.3944840062548793
XLF,-0.13909066162111525,0.42743224583643696,0.08429757843953821,1.0,0.033648305549126956,0.33568587070568795,0.017083026100794426,0.1779527204507454,-0.027906140944473353,-0.03538335271264654,0.1795673585963273
XLV,0.09113837798993585,0.04825138750658102,-0.051343598546981624,0.03364830554912718,1.0,-0.05156265694772677,0.11180393675525836,0.16227501854553888,0.0032984072915448357,0.30796265529314704,0.10319883657852916
XLE,-0.02866279533472347,0.08588647229144826,-0.1297038292263351,0.3356858707056879,-0.05156265694772671,1.0,0.20161026478996463,0.01556672364600198,-0.004258521447022725,-0.025679996026605312,0.031914421805197137
XLB,0.05879111589458025,0.40416639485277556,0.15324228724734848,0.017083026100794336,0.11180393675525818,0.20161026478996455,1.0,0.11008894854694867,-0.038791521133634765,0.1279413802802552,-0.06498902225546416
XLRE,-0.09633515334968541,0.015016738295505235,0.11393825649932507,0.1779527204507451,0.16227501854553894,0.015566723646001908,0.1100889485469489,1.0,0.46341364335892654,0.1474938058171354,0.024060050376929803
XLU,0.12576077811465575,0.16196508427875694,-0.13792168116821885,-0.027906140944473475,0.003298407291544568,-0.004258521447022475,-0.03879152113363514,0.4634136433589268,1.0,0.2960866584527381,-0.05761658224512239
XLP,-0.22511923686315272,-0.02135516388155342,-0.02121483342182522,-0.03538335271264662,0.30796265529314726,-0.02567999602660514,0.12794138028025495,0.14749380581713548,0.296086658452738,1.0,0.22507314074621423
XLC,0.43532962915529844,-0.15978001029739022,0.39448400625487934,0.17956735859632775,0.10319883657852884,0.03191442180519675,-0.06498902225546406,0.024060050376929338,-0.05761658224512198,0.22507314074621426,1.0
