,XLK,XLI,XLY,XLF,XLV,XLE,XLB,XLRE,XLU,XLP,XLC
XLK,1.0,0.16928852996732488,0.41203300331421916,-0.0870631692170851,0.2146208734938121,-0.06214515050248688,0.024590508446657666,-0.010953398835919064,-0.07559243785909986,-0.03372000201569849,0.3960589410116726
XLI,0.16928852996732488,1.0,0.11817639102579496,0.36270819676718724,0.06849804192969142,0.17218802666424618,0.43057286063106187,0.062215981117386764,0.0023584569423602,0.061630590447984905,-0.05726319415311655
XLY,0.412033003314219,0.11817639102579494,1.0,0.10304123164848161,-0.11052440704815492,-0.0967799519276459,0.06467148277728556,0.16274257774691697,-0.10284452922799939,0.05176813414672208,0.2806077638884874
XLF,-0.08706316921708503,0.36270819676718724,0.10304123164848167,1.0,0.09931272871178488,0.2406295714530487,0.1623623119531179,-0.0015037517278119633,-0.04395232581206163,0.08668601761370161,0.10590810083185015
XLV,0.21462087349381212,0.06849804192969142,-0.11052440704815487,0.09931272871178494,1.0,-0.025656643567238856,0.04468773759108259,0.08101596432881092,0.0830947956998219,0.3177913103972986,0.08638474738516945
XLE,-0.0621451505024869,0.17218802666424607,-0.09677995192764598,0.24062957145304864,-0.02565664356723889,1.0,0.17357351670202437,-0.06932603569275235,0.01031326996180458,-0.07787906284627985,0.021842711773689783
XLB,0.02459050844665753,0.43057286063106204,0.06467148277728553,0.16236231195311818,0.044687737591082695,0.17357351670202417,1.0,0.07804695989694761,0.03541317471879016,0.046498150399593714,0.009141525728650946
XLRE,-0.010953398835919103,0.06221598111738691,0.16274257774691703,-0.0015037517278120658,0.08101596432881102,-0.0693260356927524,0.07804695989694754,1.0,0.47167019832662954,0.052603631445304354,0.04039076791825438
XLU,-0.07559243785909986,0.002358456942360175,-0.10284452922799939,-0.04395232581206151,0.08309479569982194,0.010313269961804757,0.035413174718789894,0.4716701983266297,1.0,0.4020432564369354,-0.0014751543120337962
XLP,-0.03372000201569849,0.06163059044798472,0.05176813414672203,0.08668601761370141,0.31779131039729847,-0.07787906284627996,0.046498150399594255,0.052603631445304375,0.40204325643693534,1.0,-0.020848908500017235
XLC,0.3960589410116726,-0.057263194153116585,0.2806077638884873,0.1059081008318503,0.08638474738516942,0.02184271177368966,0.009141525728650944,0.0403907679182545,-0.0014751543120337962,-0.020848908500017235,1.0
